City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vaini,-21.2,-175.2,22.09,94,20,1.03,TO,1680530657
1,busselton,-33.65,115.3333,14.92,87,0,4.25,AU,1680530649
2,lavrentiya,65.5833,-171.0,-15.63,97,100,2.23,RU,1680530658
3,thompson,55.7435,-97.8558,-22.91,77,100,3.09,CA,1680530658
4,bredasdorp,-34.5322,20.0403,21.86,52,65,7.5,ZA,1680530658
5,kodiak,57.79,-152.4072,-1.27,86,100,0.0,US,1680530658
6,arraial do cabo,-22.9661,-42.0278,26.98,65,0,4.63,BR,1680530608
7,castro,-24.7911,-50.0119,20.31,60,0,1.71,BR,1680530658
8,olafsvik,64.8945,-23.7142,4.77,93,100,10.42,IS,1680530658
9,rikitea,-23.1203,-134.9692,26.73,81,25,6.35,PF,1680530658
10,flinders,-34.5833,150.8552,19.65,83,32,0.89,AU,1680530659
11,la ronge,55.1001,-105.2842,-19.86,65,40,1.54,CA,1680530373
12,hithadhoo,-0.6,73.0833,28.44,70,68,3.72,MV,1680530659
13,carnarvon,-24.8667,113.6333,23.85,75,99,4.61,AU,1680530659
14,saint-pierre,-21.3393,55.4781,25.87,83,100,1.03,RE,1680530659
15,rincon,32.296,-81.2354,21.59,83,100,4.12,US,1680530659
16,port elizabeth,-33.918,25.5701,24.5,64,20,14.4,ZA,1680530396
17,mataura,-46.1927,168.8643,10.26,77,95,0.58,NZ,1680530659
18,nyurba,63.2842,118.3319,-6.81,97,100,2.17,RU,1680530660
19,cape town,-33.9258,18.4232,22.84,58,40,3.13,ZA,1680530055
20,hobart,-42.8794,147.3294,14.47,87,75,3.6,AU,1680530440
21,dunedin,-45.8742,170.5036,12.11,78,92,2.07,NZ,1680530637
22,kapaa,22.0752,-159.319,21.18,90,100,2.57,US,1680530660
23,cayenne,4.9333,-52.3333,28.02,69,75,5.14,GF,1680530661
24,puerto ayora,-0.7393,-90.3518,28.08,85,68,0.45,EC,1680530661
25,port blair,11.6667,92.75,29.02,70,40,1.03,IN,1680530661
26,jamestown,42.097,-79.2353,10.57,52,0,6.17,US,1680530662
27,east london,-33.0153,27.9116,23.52,68,20,9.26,ZA,1680530378
28,tucurui,-3.7661,-49.6725,22.7,98,100,0.83,BR,1680529939
29,longyearbyen,78.2186,15.6401,-9.09,73,75,10.8,SJ,1680530662
30,dezhou,37.4486,116.2925,10.44,71,100,6.92,CN,1680530663
31,butaritari,3.0707,172.7902,27.78,79,75,7.06,KI,1680530663
32,karratha,-20.7377,116.8463,28.9,70,12,5.04,AU,1680530663
33,kumluca,36.3703,30.2869,17.83,66,51,3.06,TR,1680530663
34,coihaique,-45.5752,-72.0662,11.34,66,75,3.09,CL,1680530664
35,bluff,-46.6,168.3333,13.05,81,97,6.08,NZ,1680530664
36,palmer,42.1584,-72.3287,6.95,30,10,3.13,US,1680530664
37,ushuaia,-54.8,-68.3,15.81,36,0,5.14,AR,1680530664
38,phalaborwa,-23.943,31.1411,31.6,30,0,3.42,ZA,1680530506
39,tomatlan,19.9333,-105.25,21.44,70,100,0.47,MX,1680530664
40,cidreira,-30.1811,-50.2056,23.87,60,10,3.98,BR,1680530665
41,farafenni,13.5667,-15.6,39.51,13,7,3.58,GM,1680530665
42,punta arenas,-53.15,-70.9167,10.01,66,40,5.14,CL,1680530422
43,atuona,-9.8,-139.0333,26.28,83,98,6.03,PF,1680530665
44,evensk,61.95,159.2333,-14.73,73,100,5.13,RU,1680530665
45,georgetown,5.4112,100.3354,27.97,79,20,0.0,MY,1680530499
46,bonthe,7.5264,-12.505,31.59,58,52,5.91,SL,1680530666
47,pevek,69.7008,170.3133,-33.16,100,77,3.06,RU,1680530666
48,saldanha,-33.0117,17.9442,23.03,78,58,4.95,ZA,1680530667
49,saint-louis,16.3333,-15.0,39.53,7,74,5.26,SN,1680530537
50,lam luk ka,13.9323,100.7494,32.79,40,20,4.12,TH,1680530667
51,nikolskoye,59.7035,30.7861,-0.05,93,100,4.9,RU,1680530667
52,montgomery,39.1501,-77.1997,11.9,64,20,4.12,US,1680530110
53,provideniya,64.3833,-173.3,-12.74,97,99,2.02,RU,1680530667
